RowNumber,CustomerId,Surname,CreditScore,Country,Gender,Age,Tenure,CustomerFeedback,Balance (EUR),NumberOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Exited
747,15787619,Hsieh,844,France,Male,18,2,I can not link my card to any third-party platform.,160980.03,1,0,0,145936.28,0
1620,15770309,McDonald,656,France,Male,18,10,"Last week, I reached out to my bank's support team due to confusion I was having about their account disclosures and terms. After submitting a request for more information, I didn't expect the speedy response that I received.

Within a couple of hours, a bank representative had reached out to me. They carefully explained the confusing parts in plain language and made sure to cover each aspect I wasn't clear on. I appreciated their patience with my inquiries, as it is super important to be knowledgeable about financial matters.

All my confusion cleared up, thanks to this amazing service. It's obvious that my bank values its customers' concerns and puts effort into giving detailed, informative replies. As a customer, knowing that this kind of support is just a click away really puts me at ease, and I couldn't be more grateful! Keep up the fantastic work!",151762.74,1,0,1,127014.32,0
1679,15569178,Kharlamov,570,France,Female,18,4,#N/A,82767.42,1,1,0,71811.9,0
2022,15795519,Vasiliev,716,Germany,Female,18,3,#N/A,128743.8,1,0,0,197322.13,0
2137,15621893,Bellucci,727,France,Male,18,4,"Yo, I gotta give some love to this bank's customer service! Had a prob with a transaction recently and the peeps at customer support were on top of it. They helped me fix that mess real quick, no hassles. Big props to y'all, keep it up!✌️",133550.67,1,1,1,46941.41,0
2142,15758372,Wallace,674,France,Male,18,7,#N/A,0,2,1,1,55753.12,1
3331,15657439,Chao,738,France,Male,18,4,"Comenity/Lands End Visa , a credit card account was opened in my name. I received the credit card though I never applied for it. It is either fraud, as in somebody has my personal information, or fraud in that they just issue cards to people that didn't ask for it. 

I called, and they wouldn't tell me the email address associated with the card, but did confirm it wasn't any of mine. 

They did cancel the card, and said they would instruct the credit bureaus to remove the account, though wouldn't guarantee that the credit bureaus would.",0,2,1,1,47799.15,0
3513,15657779,Boylan,806,Spain,Male,18,3,"I have never missed a payment on this account, and I find it extremely unfair that I am now being penalized for something that is not my fault. Please update my account immediately and remove any inaccuracies causing me this undue stress.",0,2,1,1,86994.54,0
3518,15757821,Burgess,771,Spain,Male,18,1,#N/A,0,2,0,0,41542.95,0
3687,15665327,Cattaneo,706,France,Male,18,2,#N/A,176139.5,2,1,0,129654.22,0
